answer_body,truth,answer_id
"['<strong>Readable regular expressions</strong>', 'In Python you can split a regular expression over multiple lines, name your matches and insert comments.', 'Example verbose syntax (from Dive into Python):', 'Example naming matches (from Regular Expression HOWTO)', 'You can also verbosely write a regex without using <code>re.VERBOSE</code> thanks to string literal concatenation.']",[0],101537
"['Nested list comprehensions and generator expressions:', 'These can replace huge chunks of nested-loop code.']",[0],101549
"['<strong>Getter functions in module operator</strong>', 'The functions <code>attrgetter()</code> and <code>itemgetter()</code> in module <code>operator</code> can be used to generate fast access functions for use in sorting and search objects and dictionaries', 'Chapter 6.7 in the Python Library Docs']",[0],101731
"['It informs the C++ compiler to look up the names of those functions in a C-style when linking, because the names of functions compiled in C and C++ are different during the linking stage.']",[0],1041878
['It changes the linkage of a function in such a way that the function is callable from C. In practice that means that the function name is not mangled.'],[0],896318
"['extern ""C"" makes a function-name in C++ have \'C\' linkage (compiler does not mangle the name) so that client C code can link to (i.e use) your function using a \'C\' compatible header file that contains just the declaration of your function.', ""Your function definition is contained in a binary format (that was compiled by your C++ compiler) that the client 'C' linker will then link to using the 'C' name."", 'Since C++ has overloading of function names and C does not, the C++ compiler cannot just use the function name as a unique id to link to, so it mangles the name by adding information about the arguments.', 'A C compiler does not need to mangle the name since you can not overload function names in C.  When you state that a function has extern ""C"" linkage in C++, the C++ compiler does not add argument/parameter type information to the name used for linkage.', 'Just so you know, you can specify ""C"" linkage to each individual declaration/definition explicitly or use a block to group a sequence of declarations/definitions to have a certain linkage:', 'If you care about the technicalities, they are listed in section 7.5 of the C++03 standard, here is a brief summary (with emphasis on extern ""C""):', '<li>extern ""C"" is a linkage-specification', '<li>Every compiler is <em>required</em> to provide ""C"" linkage', '<li>a linkage specification shall occur only in namespace scope', ""<li> all function types, function names and variable names have a language linkage  See Richard's Comment: Only function names and variable names with external linkage have a language linkage"", '<li>two function types with distinct language linkages are distinct types even if otherwise identical', '<li>linkage specs nest, inner one determines the final linkage', '<li>extern ""C"" is ignored for class members', '<li>at most one function with a particular name can have ""C"" linkage (regardless of namespace)', '<li> extern ""C"" forces a function to have external linkage (cannot make it static)   See Richard\'s comment:    \'static\' inside \'extern ""C""\' is valid; an entity so declared has internal linkage, and so does not have a language linkage', '<li>Linkage from C++ to objects defined in other languages and to objects defined in C++ from other languages is implementation-defined and language-dependent.', 'Only where the object layout strategies of two language implementations are similar enough can such linkage be achieved']","[0, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",1041880
"['In every C++ program, all non-static functions are represented in the binary file as symbols.', 'These symbols are special text strings that uniquely identify a function in the program.', 'In C, the symbol name is the same as the function name.', 'This is possible because in C no two non-static functions can have the same name.', 'Because C++ allows overloading and has many features that C does not Ã©Â?like classes, member functions, exception specifications - it is not possible to simply use the function name as the symbol name.', 'To solve that, C++ uses so-called name mangling, which transforms the function name and all the necessary information (like the number and size of the arguments) into some weird-looking string processed only by the compiler and linker.', ""So if you specify a function to be extern C, the compiler doesn't performs name mangling with it and it can be directly accessed using its symbol name as the function name."", 'This comes handy while using <code>dlsym()</code> and <code>dlopen()</code> for calling such functions.']","[4, 5]",1042304
"['Can anyone give me a good example of when CROSS APPLY makes a difference in those cases where INNER JOIN will work as well?', 'See the article in my blog for detailed performance comparison:', '<li><strong><code>INNER JOIN</code> vs. <code>CROSS APPLY</code></strong>', '<code>CROSS APPLY</code> works better on things that have no simple <code>JOIN</code> condition.', 'This one selects <code>3</code> last records from <code>t2</code> for each record from <code>t1</code>:', 'It cannot be easily formulated with an <code>INNER JOIN</code> condition.', ""You could probably do something like that using <code>CTE</code>'s and window function:"", ', but this is less readable and probably less efficient.', '<strong>Update:</strong>', 'Just checked.', '<code>master</code> is a table of about <code>20,000,000</code> records with a <code>PRIMARY KEY</code> on <code>id</code>.', 'This query:', 'runs for almost <code>30</code> seconds, while this one:', 'is instant.']","[1, 3]",1139231
"['I guess it should be readability ;)', 'CROSS APPLY will be somewhat unique for people reading to tell them that a UDF is being used which will be applied to each row from the table on the left.', 'Ofcourse, there are other limitations where a CROSS APPLY is better used than JOIN which other friends have posted above.']",[1],1139320
"['here is an example when CROSS APPLY makes a huge difference with performance:', 'Using CROSS APPLY to optimize joins on BETWEEN conditions', 'Note that besides replacing inner joins you can also reuse code such as truncating dates without paying performance penalty for involing scalar UDFs, for example: Calculating third Wednesday of the month with inline UDFs']",[1],1139416
"['<strong>Update: 2017-01-10</strong>', 'Data URIs are now supported by all major browsers.', 'IE supports embedding images since version 8 as well.', 'http://caniuse.com/#feat=datauri', 'Data URIs are now supported by the following web browsers:', '<li>Gecko-based, such as Firefox, SeaMonkey, XeroBank, Camino, Fennec and K-Meleon', ""<li>Konqueror, via KDE's KIO slaves input/output system"", '<li>Opera (including devices such as the Nintendo DSi or Wii)', ""<li>WebKit-based, such as Safari (including on iOS), Android's browser, Epiphany and Midori (WebKit is a derivative of Konqueror's KHTML engine, but Mac OS X does not share the KIO architecture so the implementations are different), as well as Webkit/Chromium-based, such as Chrome"", '<li>Trident      <li>Internet Explorer 8: Microsoft has limited its support to certain ""non-navigable"" content for security reasons, including concerns that JavaScript embedded in a data URI may not be interpretable by script filters such as those used by web-based email clients.', 'Data URIs must be smaller than 32 KiB in Version 8[3].', '<li>Data URIs are supported only for the following elements and/or attributes[4]:      <li>object (images only)', '<li>img', '<li>input type=image', '<li>link', '<li>CSS declarations that accept a URL, such as background-image, background, list-style-type, list-style and similar.', '<li>Internet Explorer 9: Internet Explorer 9 does not have 32KiB limitation and allowed in broader elements.', '<li>TheWorld Browser: An IE shell browser which has a built-in support for Data URI scheme', 'http://en.wikipedia.org/wiki/Data_URI_scheme#Web_browser_support']","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1207373
"['A clustered index means you are telling the database to store close values actually close to one another on the disk.', 'This has the benefit of rapid scan / retrieval of records falling into some range of clustered index values.', 'For example, you have two tables, Customer and Order:', 'If you wish to quickly retrieve all orders of one particular customer, you may wish to create a clustered index on the ""CustomerID"" column of the Order table.', 'This way the records with the same CustomerID will be physically stored close to each other on disk (clustered) which speeds up their retrieval.', 'P.S.', 'The index on CustomerID will obviously be not unique, so you either need to add a second field to ""uniquify"" the index or let the database handle that for you but that\'s another story.', 'Regarding multiple indexes.', 'You can have only one clustered index per table because this defines how the data is physically arranged.', 'If you wish an analogy, imagine a big room with many tables in it.', 'You can either put these tables to form several rows or pull them all together to form a big conference table, but not both ways at the same time.', 'A table can have other indexes, they will then point to the entries in the clustered index which in its turn will finally say where to find the actual data.']","[0, 1]",1251640
"['With a clustered index the rows are stored physically on the disk in the same order as the index.', 'Therefore, there can be only one clustered index.', 'With a non clustered index there is a second list that has pointers to the physical rows.', 'You can have many non clustered indexes, although each new index will increase the time it takes to write new records.', 'It is generally faster to read from a clustered index if you want to get back all the columns.', 'You do not have to go first to the index and then to the table.', 'Writing to a table with a clustered index can be slower, if there is a need to rearrange the data.']","[0, 1, 2, 3, 4]",1251652
"['A very simple, non-technical rule-of-thumb would be that clustered indexes are usually used for your primary key (or, at least, a unique column) and that non-clustered are used for other situations (maybe a foreign key).', 'Indeed, SQL Server will by default create a clustered index on your primary key column(s).', ""As you will have learnt, the clustered index relates to the way data is physically sorted on disk, which means it's a good all-round choice for most situations.""]",[0],1251670
"['A <strong>staticmethod</strong> is a method that knows nothing about the class or instance it was called on.', 'It just gets the arguments that were passed, no implicit first argument.', 'It is basically useless in Python -- you can just use a module function instead of a staticmethod.', 'A <strong>classmethod</strong>, on the other hand, is a method that gets passed the class it was called on, or the class of the instance it was called on, as first argument.', 'This is useful when you want the method to be a factory for the class: since it gets the actual class it was called on as first argument, you can always instantiate the right class, even when subclasses are involved.', 'Observe for instance how <code>dict.fromkeys()</code>, a classmethod, returns an instance of the subclass when called on a subclass:']","[0, 3, 4]",136138
"[""Basically <code>@classmethod</code> makes a method whose first argument is the class it's called from (rather than the class instance), <code>@staticmethod</code> does not have any implicit arguments.""]",[0],136149
"['<code>@staticmethod</code> just disables the default function as method descriptor.', 'classmethod wraps your function in a container callable that passes a reference to the owning class as first argument:', 'As a matter of fact, <code>classmethod</code> has a runtime overhead but makes it possible to access the owning class.', 'Alternatively I recommend using a metaclass and putting the class methods on that metaclass:']","[0, 3]",136246
"['Here is a short article on this question', '@staticmethod function is nothing more than a function defined inside a class.', 'It is callable without instantiating the class first.', 'ItÃ©ÂÂ¥Ã¦ÂªÂ definition is immutable via inheritance.', '@classmethod function also callable without instantiating the class, but its definition follows Sub class, not Parent class, via inheritance.', 'ThatÃ©ÂÂ¥Ã¦ÂªÂ because the first argument for @classmethod function must always be cls (class).']","[1, 2, 3, 4, 5]",1669457
"['Maybe a bit of example code will help: Notice the difference in the call signatures of <code>foo</code>, <code>class_foo</code> and <code>static_foo</code>:', 'Below is the usual way an object instance calls a method.', 'The object instance, <code>a</code>, is implicitly passed as the first argument.', '<strong>With classmethods</strong>, the class of the object instance is implicitly passed as the first argument instead of <code>self</code>.', 'You can also call <code>class_foo</code> using the class.', 'In fact, if you define something to bea classmethod, it is probably because you intend to call it from the class rather than from a class instance.', '<code>A.foo(1)</code> would have raised a TypeError, but <code>A.class_foo(1)</code> works just fine:', 'One use people have found for class methods is to create inheritable alternative constructors.', '<strong>With staticmethods</strong>, neither <code>self</code> (the object instance) nor  <code>cls</code> (the class) is implicitly passed as the first argument.', 'They behave like plain functions except that you can call them from an instance or the class:', 'Staticmethods are used to group functions which have some logical connection with a class to the class.', '<code>foo</code> is just a function, but when you call <code>a.foo</code> you don\'t just get the function,you get a ""partially applied"" version of the function with the object instance <code>a</code> bound as the first argument to the function.', '<code>foo</code> expects 2 arguments, while <code>a.foo</code> only expects 1 argument.', '<code>a</code> is bound to <code>foo</code>.', 'That is what is meant by the term ""bound"" below:', 'With <code>a.class_foo</code>, <code>a</code> is not bound to <code>class_foo</code>, rather the class <code>A</code> is bound to <code>class_foo</code>.', ""Here, with a staticmethod, even though it is a method, <code>a.static_foo</code> just returnsa good 'ole function with no arguments bound."", '<code>static_foo</code> expects 1 argument, and<code>a.static_foo</code> expects 1 argument too.', 'And of course the same thing happens when you call <code>static_foo</code> with the class <code>A</code> instead.']","[1, 2, 3, 7, 8, 9, 10]",1669524
"['<strong>Official python docs:</strong>', '@classmethod', 'A class method receives the class as  implicit first argument, just like an  instance method receives the instance.', 'To declare a class method, use this  idiom:', 'The <code>@classmethod</code> form is a function  <em>decorator</em> Ã©Â?see the description of  function definitions in <em>Function  definitions</em> for details.', 'It can be called either on the class  (such as <code>C.f()</code>) or on an instance  (such as <code>C().f()</code>).', 'The instance is  ignored except for its class.', 'If a  class method is called for a derived  class, the derived class object is  passed as the implied first argument.', 'Class methods are different than C++  or Java static methods.', 'If you want  those, see <code>staticmethod()</code> in this  section.', '@staticmethod', 'A static method does not receive an  implicit first argument.', 'To declare a  static method, use this idiom:', 'The <code>@staticmethod</code> form is a function  <em>decorator</em> Ã©Â?see the description of  function definitions in <em>Function  definitions</em> for details.', 'It can be called either on the class  (such as <code>C.f()</code>) or on an instance  (such as <code>C().f()</code>).', 'The instance is  ignored except for its class.', 'Static methods in Python are similar  to those found in Java or C++.', 'For a  more advanced concept, see  <code>classmethod()</code> in this section.']","[1, 2, 3, 10, 11, 12]",1669579
"[""Let's say we have a single byte:"", 'Applying a single left bitshift gets us:', 'The leftmost zero was shifted out of the byte, and a new zero was appended to the right end of the byte.', ""The bits don't rollover; they are discarded."", ""That means if you left shift 1101100 and then right shift it, you won't get the same result back."", 'Shifting left by N is equivalent to multiplying by 2N.', ""Shifting right by N is (if you are using ones' complement) is the equivalent of dividing by 2N and rounding to zero."", 'Bitshifting can be used for insanely fast multiplication and division, provided you are working with a power of 2.', 'Almost all low-level graphics routines use bitshifting.', 'For example, way back in the olden days, we used mode 13h (320x200 256 colors) for games.', 'In Mode 13h, the video memory was laid out sequentially per pixel.', 'That meant to calculate the location for a pixel, you would use the following math:', 'Now, back in that day and age, speed was critical, so we would use bitshifts to do this operation.', 'However, 320 is not a power of two, so to get around this we have to find out what is a power of two that added together makes 320:', 'Now we can convert that into left shifts:', 'For a final result of:', ""Now we get the same offset as before, except instead of an expensive multiplication operation, we use the two bitshifts...in x86 it would be something like this (note, it's been forever since I've done assembly (editor's note: corrected a couple mistakes and added a 32-bit example)):"", 'Total: 28 cycles on whatever ancient CPU had these timings.', 'Vrs', '12 cycles on the same ancient CPU.', 'Yes, we would work this hard to shave off 16 CPU cycles.', 'In 32 or 64-bit mode, both versions get a lot shorter and faster.', 'Modern out-of-order execution CPUs like Intel Skylake (see http://agner.org/optimize/) have very fast hardware multiply (low latency and high throughput), so the gain is much smaller.', 'AMD Bulldozer-family is a bit slower, especially for 64-bit multiply.', 'On Intel CPUs, and AMD Ryzen, two shifts are slightly lower latency but more instructions than a multiply (which may lead to lower throughput):', 'vs.', 'Compilers will do this for you: See how gcc, clang, and MSVC all use shift+lea when optimizing <code>return 320*row + col;</code>.', 'The most interesting thing to note here is that x86 has a shift-and-add instruction (<code>LEA</code>) that can do small left shifts and add at the same time, with the performance as and <code>add</code> instruction.', 'ARM is even more powerful: one operand of any instruction can be left or right shifted for free.', ""So scaling by a compile-time-constant that's known to be a power-of-2 can be even more efficient than a multiply."", 'OK, back in the modern days... something more useful now would be to use bitshifting to store two 8-bit values in a 16-bit integer.', 'For example, in C#:', ""In C++, compilers should do this for you if you used a <code>struct</code> with two 8-bit members, but in practice don't always.""]","[1, 2, 3, 5, 6]",141576
"['One gotcha is that the following is implementation dependent (according to the ANSI standard):', 'x can now be 127 (01111111) or still -1 (11111111).', ""In practice, it's usually the latter.""]","[0, 1]",141645
"['The bit shifting operators do exactly what their name implies.', 'They shift bits.', ""Here's a brief (or not-so-brief) introduction to the different shift operators."", 'The Operators', '<li><code>&gt;&gt;</code> is the  arithmetic (or signed) right shift operator.', '<li><code>&gt;&gt;&gt;</code> is the logical (or unsigned) right shift operator.', '<li><code>&lt;&lt;</code> is the left shift operator, and meets the needs of both logical and arithmetic shifts.', 'All of these operators can be applied to integer values (<code>int</code>, <code>long</code>, possibly <code>short</code> and <code>byte</code> or <code>char</code>).', 'In some languages, applying the shift operators to any datatype smaller than <code>int</code> automatically resizes the operand to be an <code>int</code>.', 'Note that <code>&lt;&lt;&lt;</code> is not an operator, because it would be redundant.', 'Also note that C and C++ do not distinguish between the right shift operators.', 'They provide only the <code>&gt;&gt;</code> operator, and the right-shifting behavior is implementation defined for signed types.', 'Left shift (&lt;&lt;)', 'Integers are stored, in memory, as a series of bits.', 'For example, the number 6 stored as a 32-bit <code>int</code> would be:', 'Shifting this bit pattern to the left one position (<code>6 &lt;&lt; 1</code>) would result in the number 12:', 'As you can see, the digits have shifted to the left by one position, and the last digit on the right is filled with a zero.', 'You might also note that shifting left is equivalent to multiplication by powers of 2.', 'So <code>6 &lt;&lt; 1</code> is equivalent to <code>6 * 2</code>, and <code>6 &lt;&lt; 3</code> is equivalent to <code>6 * 8</code>.', 'A good optimizing compiler will replace multiplications with shifts when possible.', 'Non-circular shifting', 'Please note that these are <em>not</em> circular shifts.', 'Shifting this value to the left by one position (<code>3,758,096,384 &lt;&lt; 1</code>):', 'results in 3,221,225,472:', 'The digit that gets shifted ""off the end"" is lost.', 'It does not wrap around.', 'Logical right shift (>>>)', 'A logical right shift is the converse to the left shift.', 'Rather than moving bits to the left, they simply move to the right.', 'For example, shifting the number 12:', 'to the right by one position (<code>12 &gt;&gt;&gt; 1</code>) will get back our original 6:', 'So we see that shifting to the right is equivalent to division by powers of 2.', 'Lost bits are gone', 'However, a shift cannot reclaim ""lost"" bits.', 'For example, if we shift this pattern:', 'to the left 4 positions (<code>939,524,102 &lt;&lt; 4</code>), we get 2,147,483,744:', 'and then shifting back (<code>(939,524,102 &lt;&lt; 4) &gt;&gt;&gt; 4</code>) we get 134,217,734:', 'We cannot get back our original value once we have lost bits.', 'Arithmetic right shift (>>)', 'The arithmetic right shift is exactly like the logical right shift, except instead of padding with zero, it pads with the most significant bit.', 'This is because the most significant bit is the <em>sign</em> bit, or the bit that distinguishes positive and negative numbers.', 'By padding with the most significant bit, the arithmetic right shift is sign-preserving.', 'For example, if we interpret this bit pattern as a negative number:', 'we have the number -2,147,483,552.', 'Shifting this to the right 4 positions with the arithmetic shift (-2,147,483,552 >> 4) would give us:', 'or the number -134,217,722.', 'So we see that we have preserved the sign of our negative numbers by using the arithmetic right shift, rather than the logical right shift.', 'And once again, we see that we are performing division by powers of 2.']","[0, 1, 4, 5, 6, 7, 8]",141873
"['Bitwise operations, including bit shift, are fundamental to low-level hardware or embedded programming.', 'If you read a specification for a device or even some binary file formats, you will see bytes, words, and dwords, broken up into non-byte aligned bitfields, which contain various values of interest.', 'Accessing these bit-fields for reading/writing is the most common usage.', 'A simple real example in graphics programming is that a 16-bit pixel is represented as follows:', 'To get at the green value you would do this:', '<strong>Explanation</strong>', 'In order to obtain the value of green ONLY, which starts at offset 5 and ends at 10 (i.e.', '6-bits long), you need to use a (bit) mask, which when applied against the entire 16-bit pixel, will yield only the bits we are interested in.', 'The appropriate mask is 0x7E0 which in binary is 0000011111100000 (which is 2016 in decimal).', 'To apply a mask, you use the AND operator (&amp;).', ""After applying the mask, you'll end up with a 16-bit number which is really just a 11-bit number since its MSB is in the 11th bit."", 'Green is actually only 6-bits long, so we need to scale it down using a right shift (11 - 6 = 5), hence the use of 5 as offset (<code>#define GREEN_OFFSET  5</code>).', 'Also common is using bit shifts for fast multiplication and division by powers of 2:']","[0, 2, 5, 6, 7, 8, 9]",142335
"[""It's fatal."", 'The remote server has sent you a RST packet, which indicates an immediate dropping of the connection, rather than the usual handshake.', 'This bypasses the normal half-closed state transition.', 'I like this description:', '""Connection reset by peer"" is the TCP/IP equivalent of slamming the phone back on the hook.', ""It's more polite than merely not replying, leaving one hanging."", ""But it's not the FIN-ACK expected of the truly polite TCP/IP converseur.""]","[0, 1, 2]",1434506
"['This means that a TCP RST was received and the connection is now closed.', 'This occurs when a packet is sent from your end of the connection but the other end does not recognize the connection; it will send back a packet with the RST bit set in order to forcibly close the connection.', 'This can happen if the other side crashes and then comes back up or if it calls <code>close()</code> on the socket while there is data from you in transit, and is an indication to you that some of the data that you previously sent may not have been received.', 'It is up to you whether that is an error; if the information you were sending was only for the benefit of the remote client then it may not matter that any final data may have been lost.', 'However you should close the socket and free up any other resources associated with the connection.']","[0, 1, 2]",1434592
"['According to http://www.php.net/manual/en/language.oop5.static.php there is no <code>$self</code>.', 'There is only <code>$this</code>, for referring to the current instance of the class (the object), and self, which can be used to refer to static members of a class.', 'The difference between an object instance and a class comes into play here.']",[0],151975
"['Short Answer', 'Use <code>$this</code> to refer to the current  object.', 'Use <code>self</code> to refer to the  current class.', 'In other words, use  <code>$this-&gt;member</code> for non-static members,  use <code>self::$member</code> for static members.', 'Full Answer', 'Here is an example of <strong>correct</strong> usage of <code>$this</code> and <code>self</code> for non-static and static member variables:', 'Here is an example of <strong>incorrect</strong> usage of <code>$this</code> and <code>self</code> for non-static and static member variables:', 'Here is an example of <strong>polymorphism</strong> with <code>$this</code> for member functions:', 'Here is an example of <strong>suppressing polymorphic behaviour</strong> by using <code>self</code> for member functions:', 'The idea is that <code>$this-&gt;foo()</code> calls the <code>foo()</code> member function of whatever >is the exact type of the current object.', 'If the object is of <code>type X</code>, it thus >calls <code>X::foo()</code>.', 'If the object is of <code>type Y</code>, it calls <code>Y::foo()</code>.', 'But with >self::foo(), <code>X::foo()</code> is always called.', 'From http://www.phpbuilder.com/board/showthread.php?t=10354489:', 'By http://board.phpbuilder.com/member.php?145249-laserlight']","[1, 2, 3]",151976
"['<code>self</code> (not $self) refers to the <em>type</em> of class, where as <code>$this</code> refers to the current <em>instance</em> of the class.', '<code>self</code> is for use in static member functions to allow you to access static member variables.', '<code>$this</code> is used in non-static member functions, and is a reference to the instance of the class on which the member function was called.', 'Because <code>this</code> is an object, you use it like: <code>$this-&gt;member</code>', ""Because <code>self</code> is not an object, it's basically a type that automatically refers to the current class, you use it like: <code>self::member</code>""]","[0, 1, 2]",152073
"[""<code>$this-&gt;</code> is used to refer to a specific instance of a class's variables (member variables) or methods."", '$derek is now a specific instance of Person.Every Person has a first_name and a last_name, but $derek has a specific first_name and last_name (Derek Martin).', 'Inside the $derek instance, we can refer to those as $this->first_name and $this->last_name', 'ClassName:: is used to refer to that type of class, and its static variables, static methods.', 'If it helps, you can mentally replace the word ""static"" with ""shared"".', 'Because they are shared, they cannot refer to $this, which refers to a specific instance (not shared).', 'Static Variables (i.e.', 'static $db_connection) can be shared among all instances of a type of object.', 'For example, all database objects share a single connection (static $connection).', '<strong>Static Variables Example:</strong>Pretend we have a database class with a single member variable: static $num_connections;Now, put this in the constructor:', 'Just as objects have constructors, they also have destructors, which are executed when the object dies or is unset:', 'Every time we create a new instance, it will increase our connection counter by one.', 'Every time we destroy or stop using an instance, it will decrease the connection counter by one.', 'In this way, we can monitor the number of instances of the database object we have in use with:', 'Because $num_connections is static (shared), it will reflect the total number of active database objects.', 'You may have seen this technique used to share database connections among all instances of a database class.', ""This is done because creating the database connection takes a long time, so it's best to create just one, and share it (this is called a Singleton Pattern)."", 'Static Methods (i.e.', 'public static View::format_phone_number($digits)) can be used WITHOUT first instantiating one of those objects (i.e.', 'They do not internally refer to $this).', '<strong>Static Method Example:</strong>', 'As you can see, public static function prettyName knows nothing about the object.', ""It's just working with the parameters you pass in, like a normal function that's not part of an object."", 'Why bother, then, if we could just have it not as part of the object?', '<li>First, attaching functions to objects helps you keep things organized, so you know where to find them.', '<li>Second, it prevents naming conflicts.', ""In a big project, you're likely to have two developers create getName() functions."", ""If one creates a ClassName1::getName(), and the other creates ClassName2::getName(), it's no problem at all."", 'No conflict.', 'Yay static methods!', ""<strong>SELF::</strong>If you are coding <em>outside</em> the object that has the static method you want to refer to, you must call it using the object's name View::format_phone_number($phone_number);If you are coding <em>inside</em> the object that has the static method you want to refer to, you can <em>either</em> use the object's name View::format_phone_number($pn), OR you can use the self::format_phone_number($pn)  shortcut"", 'The same goes for static variables:<strong>Example:</strong> View::templates_path versus self::templates_path', ""Inside the DB class, if we were referring to a static method of some other object, we would use the object's name:<strong>Example:</strong> Session::getUsersOnline();"", 'But if the DB class wanted to refer to its own static variable, it would just say self:<strong>Example:</strong> self::connection;', 'Hope that helps clear things up :)']","[0, 4, 30, 31, 32, 33]",226844
"['I believe question was not whether you can call the static member of the class by calling <code>ClassName::staticMember</code>.', ""Question was what's the difference between using <code>self::classmember</code> and <code>$this-&gt;classmember</code>."", 'For e.g., both of the following examples work without any errors, whether you use <code>self::</code> or <code>$this-&gt;</code>']",[1],879425
