question_id,question_type,question_title,question_body,tags,answer_posts
454681,2,How to keep the console window open in Visual C++?,"['How to keep the console window open in Visual C++?', ""I'm starting out in Visual C++ and I'd like to know how to keep the console window."", 'For instance this would be a typical ""hello world"" application:', '<code>int _tmain(int argc, _TCHAR* argv[]){    cout &lt;&lt; ""Hello World"";    return 0;}</code>', ""What's the line I'm missing?""]","['visual-c++', 'console']","[454684, 454685, 454687, 212229, 1152873, 1152881]"
860187,3,Access restriction on class due to restriction on required library rt.jar?,"['Access restriction on class due to restriction on required library rt.jar?', ""I'm attempting to compile Java 1.4 code that was created by IBM's WSDL2Java on Java5 without recreating the stubs and saw this error in Eclipse."", ""I'm under the assumption that the stubs created should just compile as long as the runtime jars are available (they are)."", '<code>Access restriction: The type QName is not accessible due to restriction on required library C:\\Program Files\\Java\\jdk1.5.0_16\\jre\\lib\\rt.jar</code>', 'The full classname is <code>javax.xml.namespace.QName</code>', 'What exactly is going on here?', 'Is this a case where I am trying to refactor a pig from sausage?', 'Am I better off recreating the stubs?']","['java', 'eclipse', 'wsdl', 'stub', 'wsdl2java']","[860235, 1781326, 681678, 2174607, 1025426]"
931872,1,"WhatÃ©ÂÂ¥Ã¦ÂªÂ the difference between ""Array()"" and ""[]"" while declaring a JavaScript array?","['WhatÃ©ÂÂ¥Ã¦ÂªÂ the difference between ""Array()"" and ""[]"" while declaring a JavaScript array?', ""What's the real difference between declaring an array like this:"", '<code>var myArray = new Array();</code>', 'and', '<code>var myArray = [];</code>']","['javascript', 'arrays', 'declaration']","[931875, 931906, 316899, 1273936, 3132371]"
86049,2,How do I ignore files in Subversion?,"['How do I ignore files in Subversion?', 'How do I ignore files in Subversion?', 'Also, how do I find files which are not under version control?']","['svn', 'command']","[86052, 86067, 86073, 86088, 86208]"
4569123,3,Content is not allowed in Prolog SAXParserException,"['Content is not allowed in Prolog SAXParserException', 'I am trying to call a web service but facing a strange behavior.', 'we have a web-service running on my server but the code is not open to us so can not see what going on behind the wall', 'The owner of the service have exposed  web based test client UI which take input in a text box and will show the response to testing purpose.This input box is taking the input in the below mentioned format', 'its working fine on this UI but when i am trying to call this web service through my java code its getting connected as well getting authorized by the service but when i trying to call the above method it giving me the below error message', 'below is the code for generating the required XML', 'and the generated XML is as below', 'i even did timing of the generated string something as below', 'but unable to find out whats going wrong,one thing i am sure there is some problem in the input XML as its working find on the test Page UI for the same XML', 'any help in this regard is much appricated']","['java', 'axis2', 'axis', 'webservice-client', 'saxparseexception']",[4570015]
129077,1,NOT IN clause and NULL values,"['NOT IN clause and NULL values', 'This issue came up when I got different records counts for what I thought were identical queries one using a <code>not in</code> <code>where</code> constraint and the other a <code>left join</code>.', 'The table in the <code>not in</code> constraint had one null value (bad data) which caused that query to return a count of 0 records.', 'I sort of understand why but I could use some help fully grasping the concept.', ""To state it simply, why does query A return a result but B doesn't?"", ""<code>A: select 'true' where 3 in (1, 2, 3, null)B: select 'true' where 3 not in (1, 2, null)</code>"", 'This was on SQL Server 2005.', 'I also found that calling <code>set ansi_nulls off</code> causes B to return a result.']","['sql', 'sql-server', 'tsql', 'null', 'notin']","[129089, 129127, 129151, 129152]"
1536054,2,How to convert byte array to string and vice versa?,"['How to convert byte array to string and vice versa?', 'I have to convert a byte array to string in Android, but my byte array contains negative values.', 'If I convert that string again to byte array, values I am getting are different from original byte array values.', 'What can I do to get proper conversion?', 'Code I am using to do the conversion is as follows:', 'I am stuck in this problem.']",['java'],"[1536070, 1536088, 1536123, 1536147, 1536314, 1536365]"
225337,2,How do I split a string with any whitespace chars as delimiters?,"['How do I split a string with any whitespace chars as delimiters?', ""What regex pattern would need I to pass to the <code>java.lang.String.split()</code> method to split a String into an Array of substrings using all whitespace characters (' ', '\\t', '\\n', etc.)"", 'as delimiters?']","['java', 'string', 'whitespace', 'split']","[225349, 225354, 225360]"
1036347,3,How do I use boolean variables in Perl?,"['How do I use boolean variables in Perl?', 'I have tried:', '<code>$var = false;$var = FALSE;$var = False;</code>', 'None of these work.', 'I get the error message', 'Bareword ""false"" not allowed while ""strict subs"" is in use.']","['perl', 'boolean']","[1036353, 1036866, 2757625]"
2594880,2,Using cURL with a username and password?,"['Using cURL with a username and password?', 'I want to access a URL which requires a username/password.', ""I'd like to try accessing it with curl."", ""Right now I'm doing something like:"", 'I get an error.', 'I guess I need to specify a username and password along with the above command.', 'How can I do that?']","['curl', 'credentials']",[2594908]
290884,1,"What is the reason behind ""non-static method cannot be referenced from a static context""?","['What is the reason behind ""non-static method cannot be referenced from a static context""?', 'The very common beginner mistake is when you try to use a class property ""statically"" without making an instance of that class.', 'It leaves you with the mentioned error message:', 'You can either make the non static method static or make an instance of that class to use its properties.', 'Why?', 'I am not asking for solutions.', 'I would be grateful to know what is the reason behind it.', 'The very core reason!']","['java', 'static']","[290895, 290911, 290914, 290917, 292263, 292271, 725928, 1140431]"
1749064,3,How to Find the Default Charset/Encoding in Java?,"['How to Find the Default Charset/Encoding in Java?', 'The obvious answer is to use <code>Charset.defaultCharset()</code> but we recently found out that this might not be the right answer.', 'I was told that the result is different from real default charset used by java.io classes in several occasions.', 'Looks like Java keeps 2 sets of default charset.', 'Does anyone have any insights on this issue?', 'We were able to reproduce one fail case.', ""It's kind of user error but it may still expose the root cause of all other problems."", 'Here is the code,', '<code>public class CharSetTest {    public static void main(String[] args) {        System.out.println(""Default Charset="" + Charset.defaultCharset());        System.setProperty(""file.encoding"", ""Latin-1"");        System.out.println(""file.encoding="" + System.getProperty(""file.encoding""));        System.out.println(""Default Charset="" + Charset.defaultCharset());        System.out.println(""Default Charset in Use="" + getDefaultCharSet());    }    private static String getDefaultCharSet() {        OutputStreamWriter writer = new OutputStreamWriter(new ByteArrayOutputStream());        String enc = writer.getEncoding();        return enc;    }}</code>', 'Our server requires default charset in Latin-1 to deal with some mixed encoding (ANSI/Latin-1/UTF-8) in a legacy protocol.', 'So all our servers run with this JVM parameter,', '<code>-Dfile.encoding=ISO-8859-1</code>', 'Here is the result on Java 5,', '<code>Default Charset=ISO-8859-1file.encoding=Latin-1Default Charset=UTF-8Default Charset in Use=ISO8859_1</code>', 'Someone tries to change the encoding runtime by setting the file.encoding in the code.', ""We all know that doesn't work."", ""However, this apparently throws off defaultCharset() but it doesn't affect the real default charset used by OutputStreamWriter."", 'Is this a bug or feature?', 'EDIT: The accepted answer shows the root cause of the issue.', ""Basically, you can't trust defaultCharset() in Java 5, which is not the default encoding used by I/O classes."", 'Looks like Java 6 corrects this issue.']","['java', 'encoding', 'character-encoding']","[1749237, 1749273, 1749275, 1749596]"
1873995,2,Run a single test method with maven,"['Run a single test method with maven', 'I know you can run all the tests in a certain class using:', '<code>mvn test -Dtest=classname</code>', ""But I want to run an individual method and -Dtest=classname.methodname  doesn't seem to work.""]","['java', 'unit-testing', 'maven-2']","[2790272, 1874715, 1877609, 1881225]"
3393612,2,Run certain code every n seconds,"['Run certain code every n seconds', 'Is there a way to, for example, print <code>Hello World!</code> every n seconds?For example, the program would go through whatever code I had, then once it had been 5 seconds (with <code>time.sleep()</code>) it would execute that code.', 'I would be using this to update a file though, not print Hello World.', 'For example:', '<code>startrepeat(""print(\'Hello World\')"", .01) # Repeats print(\'Hello World\') ever .01 secondsfor i in range(5):    print(i)&gt;&gt; Hello World!&gt;&gt; 0&gt;&gt; 1&gt;&gt; 2&gt;&gt; Hello World!&gt;&gt; 3&gt;&gt; Hello World!&gt;&gt; 4</code>']","['python', 'multithreading']","[3393641, 3393648, 1109289]"
1570905,2,Use jquery to set value of div tag,"['Use jquery to set value of div tag', 'I have this html div tag defined:', '<code>&lt;div style=""height:100px; width:100px"" class=""total-title""&gt;    first text&lt;/div&gt;</code>', 'I have jquery code to change its value:', ""<code> $('div.total-title').html('test');</code>"", 'But this does not change the content of the div.']","['jquery', 'html']","[1570918, 1570920, 1570933, 1570965]"
907360,1,"Explanation of ""ClassCastException"" in Java","['Explanation of ""ClassCastException"" in Java', 'I read some articles written on ""ClassCastException"", but I couldn\'t get a good idea on that.', 'Is there a good article or what would be a brief explanation?']","['java', 'casting', 'classcastexception']","[907367, 907368, 907369, 907371, 907373]"
2121829,3,com.mysql.jdbc.exceptions.jdbc4.CommunicationsException:Communications link failure,"['com.mysql.jdbc.exceptions.jdbc4.CommunicationsException:Communications link failure', 'My program that connects to a MySQL database was working fine.', 'Then, without changing any code used to set up the connection, I get this exception:', 'What happened?', 'The code used to get the connection:']","['java', 'mysql', 'jdbc']","[2121962, 2122013, 2122351]"
1394797,2,"Move existing, uncommitted work to a new branch in Git","['Move existing, uncommitted work to a new branch in Git', 'I started some work on a new feature and after coding for a bit, I decided this feature should be on its own branch.', 'How do I move the existing uncommitted changes to a new branch and reset my current one?', 'I want to reset my current branch while preserving existing work on the new feature.']","['git', 'git-branch', 'git-stash', 'git-reset']",[1394804]
3762287,3,Script not served by static file handler on IIS7.5,"['Script not served by static file handler on IIS7.5', ""I've just tried to deploy my first web application to IIS on my Windows 7 Home Premium notebook."", 'After creating the application, I had to change to the Classic App Pool, then set that pool for framework 4.0.', 'Now I get the following error:', 'HTTP Error 404.17 - Not Found The requested content appears to be  script and will not be served by the static file handler.', 'The requested URL is <em>http://localhost:80/pvmms/default.aspx</em>', ""I'm afraid extensive Googling has yielded nothing clear or definite enough for me to work with and as usual I've turned to the experts."", '<strong>EDIT:</strong>I suspect this is because there are no framework 4.0 handler mappings for .aspx files.', 'However, aspnet_regiis even gives my admin user the finger and says I need admin rights to run it.', '<strong>EDIT #2:</strong>I registered all the frameworks (2 &amp; 4, 32 and 64) and all now works.', 'I found this by manually adding a script map for <code>.aspx</code> to aspnet_isapi and voila.', ""I don't understand why the installation of the framework doesn't do this, unless my memory fails me and I only enabled IIS after installing VS.""]","['asp.net', 'windows', 'iis', 'iis-7.5']","[3762363, 3763400]"
1122418,3,Changing upload_max_filesize on PHP,"['Changing upload_max_filesize on PHP', ""I'm using PHP 5.3.0 and have encountered something that might be a bug (in which case I'll report it) or might be me - so I'm asking to make sure."", 'When running this code:', '<code>&lt;?phpini_set(\'upload_max_filesize\', \'10M\');echo ini_get(\'upload_max_filesize\'), "", "" , ini_get(\'post_max_size\')</code>', 'I end up with:', '<code>2M, 8M</code>', 'This is despite my php.ini setting these higher:', '<code>upload_max_filesize = 10Mpost_max_size = 10M</code>', '(occuring only once)', ""Because the error occurs after setting the value as well as it being set in php.ini I'm inclined to think it's a bug."", ""Can anyone confirm or point me where I'm going wrong?"", ""<strong>Update</strong>: Looks like restarting Apache fixed this - I always thought it didn't need to be restarted if you changed php.ini.""]","['php', 'upload']","[1122435, 1122441, 1122443]"
239732,1,Things possible in IntelliJ that aren't possible in Eclipse?,"[""Things possible in IntelliJ that aren't possible in Eclipse?"", 'I have heard from people who have switched either way and who swear by the one or the other.', 'Being a huge Eclipse fan but having not had the time to try out IntelliJ, I am interested in hearing from IntelliJ users who are ""ex-Eclipsians"" some specific things that you can do with IntelliJ that you can not do with Eclipse.', '<strong>Note</strong>: This is not a subjective question nor at all meant to turn into an IDE holy war.', '<strong><em>Please downvote any flamebait answers</em></strong>.']","['java', 'eclipse', 'ide', 'intellij-idea']","[239754, 239780, 239796, 240970]"
692342,3,.Net HttpWebRequest.GetResponse() raises exception when http status code 400 (bad request) is returned,"['.Net HttpWebRequest.GetResponse() raises exception when http status code 400 (bad request) is returned', 'I am in a situation where when I get an HTTP 400 code from the server, it is a completely legal way of the server telling me what was wrong with my request (using a message in the HTTP response content)', 'However, the .NET HttpWebRequest raises an exception when the status code is 400.', 'How do I handle this?', 'For me a 400 is completely legal, and rather helpful.', 'The HTTP content has some important information but the exception throws me off my path.']","['.net', 'httpwebrequest']","[692369, 2676411]"
2009207,3,Java: unparseable date exception,"['Java: unparseable date exception', ""While trying to transform the date format I get an exception:unparseable date and don't know how to fix this problem."", 'I am receiving a string which represents an event date and would like to display this date in different format in GUI.', 'What I was trying to do is the following:', 'Anyway the line', 'is dummy.', 'I would like to get a date string in the following format:', 'dd.MM.yyyy HH:mm:ss', 'and the input String example is the following:', '2010-01-04 01:32:27 UTC', 'Does anyone know how to convert the example date (String) above into a String format dd.MM.yyyy HH:mm:ss?', 'Thank you!', ""Edit: I fixed the wrong input date format but still it doesn't work."", 'Above is the pasted method and below is the screen image from debugging session.', 'alt text http://img683.imageshack.us/img683/193/dateproblem.png', '#Update', 'I ran', 'and there is UTC String in the array.', ""It's a strange problem."", 'I did a dirty hack that works:', 'But still I would prefer to transform the original input without cutting timezone away.', 'This code is written for Android phone using JDK 1.6.']","['java', 'date', 'format']",[2009224]
3809401,1,What is a good regular expression to match a URL?,"['What is a good regular expression to match a URL?', 'Currently I have an input box which will detect the URL and parse the data.', 'So right now, I am using:', 'The problem is, when I enter a URL like <code>www.google.com</code>, its not working.', 'when I entered <code>http://www.google.com</code>, it is working.', 'I am not very fluent in regular expressions.', 'Can anyone help me?']","['javascript', 'regex']",[3809435]
755835,2,How to add element to C++ array?,"['How to add element to C++ array?', ""I want to add an int into an array, but the problem is that I don't know what the index is now."", '<code>int[] arr = new int[15];arr[0] = 1;arr[1] = 2;arr[2] = 3;arr[3] = 4;arr[4] = 5;</code>', ""That code works because I know what index I am assigning to, but what if I don't know the index..."", 'In PHP, I can just do <code>arr[]=22;</code>, which will automatically add 22 to the next empty index of the array.', ""But in C++ I can't do that, it gives me a compiler error."", 'What do you guys suggest?']","['c++', 'arrays']","[755837, 755841]"
4212861,1,"What is a correct mime type for docx, pptx etc?","['What is a correct mime type for docx, pptx etc?', 'For older *.doc documents this was enough:', 'What mime type should I use for new docx documents?', 'Also for pptx and xlsx documents?']","['excel', 'ms-word', 'ms-office', 'powerpoint', 'mime-types']",[4212908]
213121,1,Use 'class' or 'typename' for template parameters?,"[""Use 'class' or 'typename' for template parameters?"", '<strong>Possible Duplicate:</strong>', 'C++ difference of keywords Ã©ÂÂ¥Ã¦Â¦Â¯ypenameÃ©Â?and Ã©ÂÂ¥Ã¦Â¦ÂlassÃ©Â?in templates', 'When defining a function template or class template in C++, one can write this:', '<code>template &lt;class T&gt; ...</code>', 'or one can write this:', '<code>template &lt;typename T&gt; ...</code>', 'Is there a good reason to prefer one over the other?', 'I accepted the most popular (and interesting) answer, but the real answer seems to be ""No, there is no good reason to prefer one over the other.""', '<li>They are equivalent (except as noted below).', '<li>Some people have reasons to always use <code>typename</code>.', '<li>Some people have reasons to always use <code>class</code>.', '<li>Some people have reasons to use both.', ""<li>Some people don't care which one they use."", 'Note, however, in the case of <em>template template</em> parameters, use of <code>class</code> instead of <code>typename</code> is required.', ""See user1428839's answer below."", '(But this particular case is not a matter of preference, it is a requirement of the language.)', '(Also this will change with <code>c++17</code>)']","['c++', 'templates']","[213133, 213135, 213146, 213149, 213534, 213708, 1637011, 2558958]"
4393092,3,"C# : ""A first chance exception of type 'System.InvalidOperationException'""","['C# : ""A first chance exception of type \'System.InvalidOperationException\'""', ""Working on a class assignment in C#, I came across a program crash without any error (except what's written in VS2010's debug window)."", 'Here is the typical code causing the crash :', '... what am I missing here?', '** EDIT **', ""There's no error, the program just ends like if I would call <code>System.Environment.Exit(0);</code>""]","['c#', 'crash']","[4393140, 951619, 4393200]"
667781,1,What is the difference between MVC and MVVM?,"['What is the difference between MVC and MVVM?', 'Is there a difference between the standard ""Model View Controller"" pattern and Microsoft\'s Model/View/ViewModel pattern?']","['model-view-controller', 'design-patterns', 'mvvm']","[667809, 667817, 667824, 691498, 2498989, 2881653, 3540607, 3540895, 3895919]"
2189452,1,When to use margin vs padding in CSS,"['When to use margin vs padding in CSS', 'When writing CSS, is there a particular rule or guideline that should be used in deciding when to use <code>margin</code> and when to use <code>padding</code>?']","['css', 'padding', 'margin']","[2189462, 2189483, 2189922, 2226955]"
811153,2,PHP - Simple way to read single record from MySQL,"['PHP - Simple way to read single record from MySQL', ""What's the best way with PHP to read a single record from a MySQL database?"", 'E.g.', ':', '<code>SELECT id FROM games</code>', 'I was trying to find an answer in the old questions, but had no luck.']","['php', 'mysql']","[811158, 811165, 811179, 811185, 1869147, 2197183, 813219]"
4057236,2,How to add onload event to a div element?,"['How to add onload event to a div element?', 'How do you add an onload event to an element?', 'Can I use:', 'for this?']","['javascript', 'html']","[4057251, 4057263, 4057276, 4059124]"
1028250,1,What is (functional) reactive programming?,"['What is (functional) reactive programming?', ""I've read the Wikipedia article on reactive programming."", ""I've also read the small article on functional reactive programming."", 'The descriptions are quite abstract.', '<li>What does functional reactive programming (FRP) mean in practice?', '<li>What does reactive programming (as opposed to non-reactive programming?)', 'consist of?', 'My background is in imperative/OO languages, so an explanation that relates to this paradigm would be appreciated.']","['functional-programming', 'terminology', 'reactive-programming', 'frp']","[1028551, 1028567, 1028642, 1030631, 1033066, 1040163]"
2281633,1,JavaScript isset() equivalent,"['JavaScript isset() equivalent', ""In PHP you can do <code>if(isset($array['foo'])) { ... }</code>."", 'In JavaScript you often use <code>if(array.foo) { ... }</code> to do the same, but this is not exactly the same statement.', 'The condition will also evaluate to false if <code>array.foo</code> does exists but is <code>false</code> or <code>0</code> (and probably other values as well).', ""What is the perfect equivalent of PHP's <code>isset</code> in JavaScript?"", ""In a broader sense, a general, complete guide on JavaScript's handling of variables that don't exist, variables without a value, etc."", 'would be convenient.']","['javascript', 'isset']",[2281671]
2891937,2,Strtotime() doesn't work with dd/mm/YYYY format,"[""Strtotime() doesn't work with dd/mm/YYYY format"", ""I really like the <code>strtotime()</code> function, but the user manual doesn't give a complete description of the supported date formats."", ""<code>strtotime('dd/mm/YYYY')</code> doesn't work, it works only with <code>mm/dd/YYYY</code> format."", 'If I have date in <code>dd/mm/YYYY</code> format, how can I convert it to <code>YYYY-mm-dd</code>?I can do it by using <code>explode()</code> function, but I think there are better solutions.']",['php'],"[2891949, 2891952, 2891953, 2891968, 2892002, 2897353]"
1274018,3,System.Security.SecurityException when writing to Event Log,"['System.Security.SecurityException when writing to Event Log', 'I__ working on trying to port an ASP.NET app from Server 2003 (and IIS6) to Server 2008 (IIS7).', 'When I try and visit the page on the browser I get this:', 'Server Error in Ã¨ÂÂÃ©Â©Â´?Ã¨ÂÂÃ©Â©Â´?Application.', 'Security Exception', 'Description: The application attempted to perform an operation not allowed by the security policy.', 'To grant this application the required permission please contact your system administrator or change the application__ trust level in the configuration file.', 'Exception Details: System.Security.SecurityException: The source was not found, but some or all event logs could not be searched.', 'Inaccessible logs: Security', 'Source Error:', 'An unhandled exception was generated during the execution of the current web request.', 'Information regarding the origin and the location of the exception can be identified using the exception stack trace below.', 'Stack Trace:', '[SecurityException: The source was not found, but some or all event logs could not be searched.', 'Inaccessible logs: Security.]', 'System.Diagnostics.EventLog.FindSourceRegistration(String source, String machineName, Boolean readOnly) +562', '  System.Diagnostics.EventLog.SourceExists(String source, String machineName) +251', '[snip]', 'These are the things I__e done to try and solve it:', 'Give __veryoneÃ¨ÂÂÃ©Â©Â´?full access permission to the key <code>HKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Services\\EventLog\\Security</code>.', 'This worked.', 'But naturally I can__ do this in production.', 'So I deleted the __veryoneÃ¨ÂÂÃ©Â©Â´?permission after running the app for a few minutes and the error re-appeared.', 'I created the source in the Application log and the Security log (and I verified it exists via regedit) during installation with elevated permissions but the error remained.', 'I gave the app a full trust level in the <code>web.config</code> file (and using <code>appcmd.exe</code>) but to no avail.', 'Does anyone have an insight as to what could be done here?', 'PS: This is a follow up to this question.', 'I followed the given answers but to no avail (see #2 above).']","['asp.net', 'windows', 'iis-7', 'exception-handling', 'event-log']","[1307593, 1338792, 2621576, 3138269]"
733349,2,List of Stored Procedures/Functions Mysql Command Line,"['List of Stored Procedures/Functions Mysql Command Line', 'How can I see the list of the stored procedures or stored functions in mysql command line like <code>show tables;</code> or <code>show databases;</code> commands.']","['mysql', 'stored-procedures', 'command-line']","[733363, 3573381]"
